EntrezGene.ID	Associated.Gene.Name	Transcript.Start..bp.	Chromosome.Name
NA	MCFD2	 46982517	chr2
  5347	PLK1	 23597752	chr16
  7568	ZNF20	 12104389	chr19
     2968	GTF2H4	 30983977	chr6
     3621	ING1	110163808	chr13
NA	MCFD2	 46986011	chr2
     9210	BMP15	 50670475	chrX
     2887	GRB10	 50627801	chr7
 10243	GPHN	 66043878	chr14
     7568	ZNF20	 12103803	chr19
NA	MAP7D1	 36414437	chr1
NA	TCP11L1	 33017720	chr11
     2036	EPB41L1	 34142840	chr20
     9721	GPRIN2	 46413552	chr10
    25776	CBY1	 37382604	chr22
 55608	ANKRD10	110328888	chr13
NA	EPB41L1	 34144046	chr20
NA	MAP7D1	 36415746	chr1
    54878	DPP8	 63525051	chr15
NA	ANKRD10	110343063	chr13
NA	EPB41L1	 34206078	chr20
   224	ALDH3A2	 19492656	chr17
     5347	PLK1	 23597702	chr16
 10425	ARIH2	 48931285	chr3
137872	ADHFE1	 67507272	chr8
NA	TTC7A	 46996800	chr2
NA	GRB10	 50627771	chr7
NA	EPB41L1	 34144068	chr20
     9721	GPRIN2	 46414093	chr10
  1479	CSTF3	 33062713	chr11
NA	ANKRD10	110350979	chr13
NA	TTC7A	 47021817	chr2
    90589	ZNF625	 12116711	chr19
   170685	NUDT10	 51091823	chrX
     5540	PPYR1	 46503540	chr10
     9967	THRAP3	 36462626	chr1
    10411	RAPGEF3	 46417307	chr12
NA	FAM71D	 66725899	chr14
NA	TRPM6	 76527231	chr9
NA	VARSL	 30989961	chr6
     8615	USO1	 76869028	chr4
    23242	COBL	 51051404	chr7
NA	PAM	102229422	chr5
  8874	ARHGEF7	110565783	chr13
NA	ADHFE1	 67507306	chr8
   161142	FAM71D	 66725899	chr14
NA	PAM	102229688	chr5
    57217	TTC7A	 47021817	chr2
NA	ADHFE1	 67507272	chr8
  7695	ZNF136	 12134919	chr19
 10114	HIPK3	 33235744	chr11
   170685	NUDT10	 51092422	chrX
NA	ARIH2	 48980914	chr3
   340602	AL158055.12	 51166507	chrX
NA	COBL	 51051404	chr7
 56993	TOMM22	 37407900	chr22
 25980	C20orf4	 34287795	chr20
   254778	C8orf46	 67568321	chr8
     5540	PPYR1	 46505670	chr10
NA	RAPGEF3	 46417307	chr12
    25980	C20orf4	 34287861	chr20
 64398	MPP5	 66777774	chr14
    10595	ERN2	 23609131	chr16
    54681	P4HTM	 49002345	chr3
     5470	PPEF2	 77000052	chr4
100132646	AL391137.11-2	 46571369	chr10
      224	ALDH3A2	 19492641	chr17
NA	AL591845.27-1	 36544785	chr1
 51710	ZNF44	 12196503	chr19
NA	TTC7A	 47031064	chr2
      224	ALDH3A2	 19492690	chr17
NA	COBL	 51100327	chr7
 55190	NUDT11	 51249603	chrX
   389376	SFTA2	 31007111	chr6
    79729	C1orf113	 36545305	chr1
   285051	C2orf61	 47209091	chr2
    54826	GIN1	102449603	chr5
NA	ZNF44	 12244303	chr19
    55190	NUDT11	 51255542	chrX
  4603	MYBL1	 67636968	chr8
NA	COBL	 51108533	chr7
    25980	C20orf4	 34287814	chr20
    54681	P4HTM	 49002323	chr3
   285877	AC074397.7	 53070859	chr7
NA	PPEF2	 77006656	chr4
    10411	RAPGEF3	 46417296	chr12
NA	ANXA8L1	 46577992	chr10
 11180	WDR6	 49019696	chr3
  9929	JOSD1	 37411630	chr22
   135656	DPCR1	 31026879	chr6
NA	GIN1	102451423	chr5
    51710	ZNF44	 12220218	chr19
NA	WDR6	 49019836	chr3
    63928	AC130454.2	 23673449	chr16
 23708	GSPT2	 51503267	chrX
    27163	NAAA	 77050833	chr4
    55194	FAM176B	 36560219	chr1
NA	AC007964.3	 53690696	chr7
   805	CALM2	 47240809	chr2
      805	CALM2	 47240809	chr2
      801	CALM2	 47240809	chr2
100127947	AL591845.27-2	 36561922	chr1
NA	GIN1	102460258	chr5
 22839	DLGAP4	 34493535	chr20
 51495	PTPLAD1	 63609878	chr15
NA	WDR6	 49019830	chr3
 51382	ATP6V1D	 66874343	chr14
    25758	C11orf41	 33520397	chr11
NA	VSTM2A	 54577603	chr7
   728113	ANXA8L1	 46577992	chr10
NA	RAPGEF3	 46417306	chr12
    27163	NAAA	 77053834	chr4
NA	C11orf41	 33520453	chr11
 23262	HISPPD1	102483867	chr5
NA	VSTM2A	 54577792	chr7
   146802	SLC47A2	 19522220	chr17
NA	RAPGEF3	 46424503	chr12
NA	ZNF44	 12262970	chr19
   140803	TRPM6	 76527231	chr9
NA	C11orf41	 33521052	chr11
   222008	VSTM2A	 54577512	chr7
NA	ARHGEF7	110565879	chr13
    83931	STK40	 36577818	chr1
NA	VSTM2A	 54577512	chr7
100129686	AC012618.7	 12214948	chr19
NA	SLC48A1	 46453258	chr12
     5579	PRKCB	 23754823	chr16
  9567	GTPBP1	 37431753	chr22
NA	C11orf91	 33676484	chr11
    23262	HISPPD1	102483867	chr5
NA	AC083928.11	 67676502	chr8
   966	CD59	 33681134	chr11
   643161	FAM25B	 46597241	chr10
   644054	FAM25B	 46597241	chr10
   647993	FAM25B	 46597241	chr10
100132929	FAM25B	 46597241	chr10
100133093	FAM25B	 46597241	chr10
NA	TRPM6	 76542131	chr9
NA	NAAA	 77070651	chr4
   394263	C6orf205	 31059474	chr6
 23480	SEC61G	 54787438	chr7
   147837	ZNF563	 12289540	chr19
 80124	VCPIP1	 67703300	chr8
NA	ARHGEF7	110604086	chr13
    83931	STK40	 36577814	chr1
 90355	C5orf30	102622341	chr5
  1965	EIF2S1	 66896787	chr14
NA	TRPM6	 76566702	chr9
    29113	C6orf15	 31186982	chr6
 81556	C15orf44	 63658175	chr15
 55152	DALRD3	 49027439	chr3
100133719	DALRD3	 49027439	chr3
 55153	SDAD1	 77090097	chr4
  9500	MAGED1	 51653438	chrX
NA	TRPM6	 76631493	chr9
    51564	HDAC7	 46462776	chr12
NA	ZNF563	 12289306	chr19
   728127	AL391137.11-3	 46612148	chr10
NA	AL158825.12	 76709393	chr9
    22839	DLGAP4	 34357717	chr20
    23480	SEC61G	 54787448	chr7
 25777	UNC84B	 37460681	chr22
     8874	ARHGEF7	110604086	chr13
 55071	C9orf40	 76752371	chr9
 79973	ZNF442	 12321185	chr19
    81556	C15orf44	 63658173	chr15
    83594	NUDT12	102912456	chr5
NA	ARHGEF7	110655637	chr13
NA	STK40	 36577812	chr1
     1041	CDSN	 31190849	chr6
   218	ALDH3A1	 19581895	chr17
    84967	LSM10	 36631618	chr1
    56260	C8orf44	 67752498	chr8
NA	ARHGEF7	110604037	chr13
    10368	CACNG3	 24174382	chr16
NA	SDAD1	 77090097	chr4
    90576	ZNF799	 12361831	chr19
    22839	DLGAP4	 34428966	chr20
NA	CALM2	 47241382	chr2
NA	AC006971.2	 54968636	chr7
   121793	C13orf16	110766559	chr13
    55152	DALRD3	 49027928	chr3
    22839	DLGAP4	 34523556	chr20
     1946	EFNA5	106744250	chr5
    56260	C8orf44	 67751008	chr8
  9187	SLC24A1	 63703472	chr15
NA	SDAD1	 77090083	chr4
NA	AL391137.11-3	 46611784	chr10
 26499	PLEK2	 66923455	chr14
      218	ALDH3A1	 19581895	chr17
   121793	C13orf16	110771016	chr13
   170679	PSORS1C1	 31190602	chr6
   138199	C9orf41	 76785754	chr9
 10224	ZNF443	 12401521	chr19
NA	C1orf102	 36656327	chr1
     4283	CXCL9	 77141647	chr4
NA	EPCAM	 47425801	chr2
NA	RP11-65D24.2	111038639	chr13
     4072	EPCAM	 47449954	chr2
NA	C1orf102	 36656095	chr1
     6656	SOX1	111769914	chr13
    22839	DLGAP4	 34523283	chr20
NA	HDAC7	 46462776	chr12
  5930	RBBP6	 24458409	chr16
NA	PTTG3	 67842186	chr8
     9500	MAGED1	 51562895	chrX
     9187	SLC24A1	 63703472	chr15
   161145	C14orf83	 67006736	chr14
  1956	EGFR	 55054219	chr7
    64839	FBXL17	107225320	chr5
    25915	NDUFAF3	 49034078	chr3
NA	FAM35B2	 46800771	chr10
   127700	C1orf102	 36656095	chr1
   163051	ZNF709	 12435743	chr19
NA	C9orf41	 76785754	chr9
  3627	CXCL10	 77161297	chr4
    64839	FBXL17	107223348	chr5
   170680	PSORS1C2	 31213292	chr6
    10398	MYL9	 34603311	chr20
     5930	RBBP6	 24458409	chr16
NA	ANTXRL	 47128255	chr10
NA	ALDH3A1	 19581889	chr17
   127700	C1orf102	 36666502	chr1
   161145	C14orf83	 66983554	chr14
    25777	UNC84B	 37460676	chr22
 23678	SGK3	 67850016	chr8
NA	C9orf41	 76821585	chr9
NA	UNC84B	 37460687	chr22
NA	FBXL17	107241854	chr5
    25915	NDUFAF3	 49034528	chr3
   163050	ZNF564	 12497536	chr19
    25777	UNC84B	 37461860	chr22
NA	CXCL10	 77162181	chr4
    25915	NDUFAF3	 49033622	chr3
   122258	C13orf28	112078634	chr13
NA	C13orf28	112080995	chr13
 10126	DNAL4	 37504468	chr22
NA	AL603965.10-1	 47178313	chr10
    57474	ZNF490	 12547646	chr19
     9500	MAGED1	 51653369	chrX
     6373	CXCL11	 77173975	chr4
    64960	MRPS15	 36693960	chr1
 54981	C9orf95	 76858809	chr9
    25915	NDUFAF3	 49032912	chr3
  2241	FER	108111422	chr5
NA	C13orf28	112084765	chr13
  7421	VDR	 46521589	chr12
100129860	RP11-114H20.1	 51810705	chrX
 26273	FBXO3	 33719066	chr11
  4436	MSH2	 47483773	chr2
    54981	C9orf95	 76865938	chr9
    57475	PLEKHH1	 67069761	chr14
     4436	MSH2	 47483767	chr2
  9706	ULK2	 19618058	chr17
 10260	DENND4A	 63740013	chr15
    54535	CCHCR1	 31218195	chr6
NA	ANXA8L2	 47216962	chr10
    23678	SGK3	 67787445	chr8
    54535	CCHCR1	 31218196	chr6
 60436	TGIF2	 34635305	chr20
  3615	IMPDH2	 49036774	chr3
    60436	TGIF2	 34635424	chr20
  5283	PIGH	 67125776	chr14
   163049	ZNF791	 12582753	chr19
NA	DNAL4	 37506669	chr22
    54981	C9orf95	 76865936	chr9
NA	AC010228.8-1	108414912	chr5
    23467	NPTXR	 37544403	chr22
      244	ANXA8L2	 47216926	chr10
NA	C9orf95	 76865309	chr9
     9706	ULK2	 19614736	chr17
NA	C9orf95	 76870998	chr9
  8766	RAB11A	 63948850	chr15
NA	SLA2	 34661303	chr20
 10426	TUBGCP3	112187327	chr13
NA	FBXO3	 33719083	chr11
NA	ZNF791	 12582753	chr19
    81557	MAGED4B	 51821663	chrX
   728239	MAGED4B	 51821663	chrX
      419	ART3	 77214887	chr4
NA	SLA2	 34667880	chr20
   284393	AC010422.7-2	 12615089	chr19
   728449	AL603965.10-2	 47216968	chr10
    84174	SLA2	 34674340	chr20
  1441	CSF3R	 36704231	chr1
  4005	LMO2	 33836701	chr11
     9706	ULK2	 19618056	chr17
 23466	CBX6	 37590210	chr22
 26578	OSTF1	 76893275	chr9
    27327	TNRC6A	 24648550	chr16
  9867	PJA2	108698310	chr5
   157777	C8orf45	 67945538	chr8
   384	ARG2	 67156332	chr14
 54870	QRICH1	 49042148	chr3
 11216	AKAP10	 19749344	chr17
NA	MSH2	 47483815	chr2
NA	TUBGCP3	112201225	chr13
NA	C8orf45	 67948884	chr8
387680	FAM21B	 47414029	chr10
NA	C8orf45	 67945538	chr8
     9867	PJA2	108698309	chr5
   400165	C13orf35	112349359	chr13
    11216	AKAP10	 19749344	chr17
NA	CBX6	 37590180	chr22
    26578	OSTF1	 76893279	chr9
NA	AC121338.6	 46562699	chr12
NA	TNRC6A	 24648517	chr16
NA	TCF24	 68036084	chr8
NA	AC132216.7	 33858765	chr11
NA	CCHCR1	 31218195	chr6
200315	APOBEC3A	 37683569	chr22
    27327	TNRC6A	 24648535	chr16
   286187	LRRC67	 68062925	chr8
 55969	C20orf24	 34667581	chr20
   200315	APOBEC3A	 37683569	chr22
  4125	MAN2B1	 12618322	chr19
NA	TNRC6A	 24648550	chr16
NA	MSH2	 47483795	chr2
     6941	TCF19	 31234282	chr6
    84465	MEGF11	 63974688	chr15
 10490	VTI1B	 67187622	chr14
NA	ART3	 77214887	chr4
 79022	TMEM106C	 46643655	chr12
NA	MEGF11	 63977226	chr15
   200315	APOBEC3A	 37678702	chr22
NA	AL954360.3	 47521609	chr10
     6941	TCF19	 31234303	chr6
    56660	KCNK12	 47601440	chr2
NA	MEGF11	 63974693	chr15
  4124	MAN2A1	109053055	chr5
 51398	C19orf56	 12639887	chr19
     4076	CAPRIN1	 34029806	chr11
NA	C20orf24	 34667634	chr20
 55915	LANCL2	 55400635	chr7
  9582	APOBEC3B	 37708350	chr22
 10987	COPS5	 68117871	chr8
NA	AL591684.7-1	 47805882	chr10
NA	C20orf24	 34667626	chr20
     5460	POU5F1	 31240094	chr6
     2899	GRIK3	 37039201	chr1
     9582	APOBEC3B	 37708351	chr22
    92521	CYTSB	 19930927	chr17
   642987	AC012622.6	109931539	chr5
NA	AC073347.3	 55505801	chr7
 23250	ATP11A	112392644	chr13
 51109	RDH11	 67213274	chr14
    84292	AC010422.7-3	 12641517	chr19
 53371	NUP54	 77254842	chr4
  2956	MSH6	 47863725	chr2
  5125	PCSK5	 77695441	chr9
   642517	AL591684.7-1	 47829545	chr10
   115584	SLC5A11	 24765053	chr16
NA	APOBEC3B	 37708298	chr22
    81557	MAGED4	 51944659	chrX
   728239	MAGED4	 51944659	chrX
NA	APOBEC3B	 37708351	chr22
NA	MEGF11	 63988467	chr15
  5859	QARS	 49108374	chr3
NA	GRIK3	 37042806	chr1
 91137	SLC25A46	110102664	chr5
NA	CYTSB	 19853206	chr17
 57446	NDRG3	 34713583	chr20
NA	FKBP9L	 55716264	chr7
 80149	ZC3H12A	 37712782	chr1
 27350	APOBEC3C	 37740208	chr22
    91137	SLC25A46	110102653	chr5
NA	DIS3L	 64372988	chr15
   643161	FAM25B	 47867676	chr10
   644054	FAM25B	 47867676	chr10
   647993	FAM25B	 47867676	chr10
100132929	FAM25B	 47867676	chr10
100133093	FAM25B	 47867676	chr10
    92521	CYTSB	 19999990	chr17
NA	NUP54	 77254842	chr4
NA	PSORS1C3	 31249491	chr6
  1725	DHPS	 12647537	chr19
    80149	ZC3H12A	 37712753	chr1
 55226	NAT10	 34083725	chr11
   145226	RDH12	 67258943	chr14
NA	COL2A1	 46653015	chr12
NA	NDRG3	 34713583	chr20
 79848	CSPP1	 68139157	chr8
    85480	TSLP	110435081	chr5
   115752	DIS3L	 64372714	chr15
    81557	MAGED4	 51944748	chrX
   728239	MAGED4	 51944748	chrX
NA	PCSK5	 77695406	chr9
   346288	SEPT14	 55828731	chr7
NA	HCG27	 31273516	chr6
    92521	CYTSB	 19999988	chr17
100129860	RP11-363G10.2	 51959703	chrX
NA	ATP11A	112392644	chr13
    85480	TSLP	110435289	chr5
NA	SEPT14	 55828731	chr7
     1280	COL2A1	 46653015	chr12
 80204	FBXO11	 47869965	chr2
 64769	C1orf149	 37724502	chr1
NA	PCSK5	 77695441	chr9
   140564	APOBEC3D	 37747276	chr22
 55114	ARHGAP17	 24838211	chr16
     9502	XAGE2	 52128793	chrX
   728242	XAGE2	 52128793	chrX
 54962	TIPIN	 64416230	chr15
NA	DHPS	 12647537	chr19
NA	APOBEC3D	 37747276	chr22
NA	C1orf149	 37731957	chr1
   349075	ZNF713	 55922643	chr7
NA	CCDC144C	 20165137	chr17
NA	ANXA8	 47875231	chr10
NA	HLA-C	 31344505	chr6
   950	SCARB2	 77298918	chr4
    64769	C1orf149	 37731502	chr1
NA	USP19	 49120490	chr3
NA	CCDC144C	 20165069	chr17
NA	ZNF713	 55958346	chr7
100132568	FAM106B	 20261333	chr17
   200316	APOBEC3F	 37766619	chr22
NA	C1orf149	 37731366	chr1
   134430	WDR36	110455769	chr5
NA	PCSK5	 77695850	chr9
NA	C1orf149	 37731499	chr1
   200316	APOBEC3F	 37766849	chr22
 51373	MRPS17	 55987105	chr7
   652891	ANXA8	 47875231	chr10
   653145	ANXA8	 47875231	chr10
    25841	ABTB2	 34129111	chr11
NA	FAM47E	 77354217	chr4
 79753	SNIP1	 37774732	chr1
 55312	RFK	 78190253	chr9
NA	AC015818.32-2	 20268500	chr17
 23503	ZFYVE26	 67263844	chr14
  5604	MAP2K1	 64466674	chr15
     8987	STBD1	 77446833	chr4
NA	AL591684.7-2	 47875285	chr10
     9503	XAGE1	 52255699	chrX
   653048	XAGE1	 52255699	chrX
   653067	XAGE1	 52255699	chrX
   653219	XAGE1	 52255699	chrX
   653220	XAGE1	 52255699	chrX
      814	CAMK4	110587981	chr5
NA	RFK	 78190253	chr9
 10302	SNAPC5	 64569720	chr15
NA	LGALS9B	 20293768	chr17
   118738	ZNF488	 47975095	chr10
     3107	HLA-C	 31344509	chr6
NA	FBXW9	 12660737	chr19
    10302	SNAPC5	 64569720	chr15
    80204	FBXO11	 47887563	chr2
     9503	XAGE1	 52255744	chrX
   653048	XAGE1	 52255744	chrX
   653067	XAGE1	 52255744	chrX
   653219	XAGE1	 52255744	chrX
   653220	XAGE1	 52255744	chrX
  2650	GCNT1	 78263888	chr9
     7802	DNALI1	 37795107	chr1
NA	XAGE1	 52255543	chrX
   284194	LGALS9B	 20293300	chr17
   118738	ZNF488	 47975081	chr10
    10302	SNAPC5	 64573205	chr15
    79980	C20orf172	 34813890	chr20
    84261	FBXW9	 12660731	chr19
    80204	FBXO11	 47887565	chr2
NA	AC015818.32-3	 20345421	chr17
   134429	STARD4	110861921	chr5
200316	APOBEC3G	 37803082	chr22
 23263	MCF2L	112596693	chr13
 10565	ARFGEF1	 68272451	chr8
NA	USP19	 49120468	chr3
     5949	RBP3	 48001495	chr10
NA	MCF2L	112604510	chr13
NA	AC034139.7-2	 77453216	chr4
  2631	GBAS	 55999790	chr7
NA	FBXO11	 47917631	chr2
    23263	MCF2L	112670815	chr13
  9315	C5orf13	111092892	chr5
NA	AC015818.32-4	 20363217	chr17
 51451	LCMT1	 25030548	chr16
NA	USP19	 49120483	chr3
     9503	XAGE1B	 52271944	chrX
   653048	XAGE1B	 52271944	chrX
   653067	XAGE1B	 52271944	chrX
   653219	XAGE1B	 52271944	chrX
   653220	XAGE1B	 52271944	chrX
    79980	C20orf172	 34813862	chr20
   847	CAT	 34417054	chr11
 29889	GNL2	 37805017	chr1
NA	USP19	 49121110	chr3
   158471	PRUNE2	 78416113	chr9
  3344	FOXN2	 48395299	chr2
    60489	APOBEC3G	 37803313	chr22
    57094	CPA6	 68496963	chr8
    10869	USP19	 49121112	chr3
   339965	AC034139.7-2	 77453216	chr4
    23503	ZFYVE26	 67282992	chr14
NA	CDRT15L2	 20423629	chr17
    56917	MEIS3P2	 20432963	chr17
NA	HLA-C	 31344509	chr6
     2658	GDF2	 48033098	chr10
NA	MCF2L	112670815	chr13
NA	MCF2L	112681983	chr13
     2662	GDF10	 48045795	chr10
NA	C20orf172	 34813612	chr20
  5723	PSPH	 56046291	chr7
NA	AC034139.7-2	 77524312	chr4
NA	FOXN2	 48427129	chr2
NA	C20orf172	 34813890	chr20
NA	RSPO1	 37849538	chr1
NA	LCMT1	 25030548	chr16
    57619	SHROOM3	 77575277	chr4
NA	XAGE1B	 52271944	chrX
NA	GDF10	 48045791	chr10
NA	MCF2L	112704069	chr13
NA	SHROOM3	 77575277	chr4
NA	LCMT1	 25044785	chr16
    29843	SENP1	 46722948	chr12
NA	APOBEC3H	 37823190	chr22
   339184	CCDC144NL	 20707302	chr17
   164668	APOBEC3H	 37823190	chr22
  5890	RAD51L1	 67360014	chr14
   284654	RSPO1	 37849538	chr1
NA	MCF2L	112704208	chr13
NA	PRUNE2	 78416112	chr9
     9315	C5orf13	111092408	chr5
     5723	PSPH	 56046240	chr7
 30000	TNPO2	 12671017	chr19
     5890	RAD51L1	 67360014	chr14
     3913	LAMB2	 49133552	chr3
NA	MCF2L	112746970	chr13
NA	APOBEC3H	 37823226	chr22
     9502	XAGE2B	 52397079	chrX
   728242	XAGE2B	 52397079	chrX
     2001	ELF5	 34456918	chr11
NA	SHROOM3	 77856178	chr4
140710	C20orf117	 34839591	chr20
      343	AQP8	 25135784	chr16
NA	PRUNE2	 78419306	chr9
NA	MCF2L	112747003	chr13
NA	SHROOM3	 77895245	chr4
NA	MCF2L	112746977	chr13
   284654	RSPO1	 37849827	chr1
   345079	ANKRD56	 78035645	chr4
NA	MCF2L	112766189	chr13
   284654	RSPO1	 37850071	chr1
NA	PSPH	 56046280	chr7
 23492	CBX7	 37856736	chr22
     5890	RAD51L1	 67356262	chr14
NA	C20orf117	 34839259	chr20
NA	C20orf117	 34848302	chr20
NA	PRUNE2	 78416113	chr9
NA	MCF2L	112796774	chr13
NA	SENP1	 46723618	chr12
 54955	C1orf109	 37919837	chr1
    79002	C19orf43	 12702455	chr19
NA	CBX7	 37859535	chr22
   342357	ZKSCAN2	 25154827	chr16
   140711	C20orf118	 34937984	chr20
 23326	USP22	 20843498	chr17
 26095	PTPN20B	 48357048	chr10
   653129	PTPN20B	 48357048	chr10
NA	LAMB2	 49133870	chr3
NA	AL137002.19	112794931	chr13
 64097	EPB41L4A	111507433	chr5
     9503	XAGE1C	 52528494	chrX
   653048	XAGE1C	 52528494	chrX
   653067	XAGE1C	 52528494	chrX
   653219	XAGE1C	 52528494	chrX
   653220	XAGE1C	 52528494	chrX
    55752	SEPT11	 78089919	chr4
NA	PRUNE2	 78593130	chr9
     5155	PDGFB	 37949665	chr22
   129285	KLRAQ1	 48521440	chr2
    64925	CCDC71	 49174973	chr3
NA	PRUNE2	 78628003	chr9
   677	ZFP36L1	 68325077	chr14
     9503	XAGE1C	 52528857	chrX
   653048	XAGE1C	 52528857	chrX
   653067	XAGE1C	 52528857	chrX
   653219	XAGE1C	 52528857	chrX
   653220	XAGE1C	 52528857	chrX
  6124	RPL4	 64578708	chr15
     9951	HS3ST4	 25610848	chr16
   442425	FOXB2	 78824391	chr9
   129285	KLRAQ1	 48521412	chr2
  2155	F7	112808106	chr13
    26298	EHF	 34599244	chr11
    64097	EPB41L4A	111526214	chr5
    80243	PREX2	 69026907	chr8
   200942	KLHDC8B	 49184072	chr3
 55143	CDCA8	 37930740	chr1
   439	ASNA1	 12709306	chr19
   400223	C14orf181	 68332264	chr14
   908	CCT6A	 56086872	chr7
 10983	CCNI	 78188203	chr4
NA	XAGE1C	 52528494	chrX
 25939	SAMHD1	 34954059	chr20
     9503	XAGE1C	 52528650	chrX
   653048	XAGE1C	 52528650	chrX
   653067	XAGE1C	 52528650	chrX
   653219	XAGE1C	 52528650	chrX
   653220	XAGE1C	 52528650	chrX
NA	KLRAQ1	 48521440	chr2
NA	JMJD5	 27122317	chr16
NA	KLRAQ1	 48521470	chr2
  5213	PFKM	 46787424	chr12
NA	KLRAQ1	 48535255	chr2
    25979	DHRS7B	 20970859	chr17
   339834	CCDC36	 49084173	chr3
NA	AC073082.6	 48610026	chr2
    55143	CDCA8	 37930677	chr1
     9503	XAGE1D	 52544884	chrX
   653048	XAGE1D	 52544884	chrX
   653067	XAGE1D	 52544884	chrX
   653219	XAGE1D	 52544884	chrX
   653220	XAGE1D	 52544884	chrX
NA	PREX2	 69026907	chr8
    79831	JMJD5	 27122317	chr16
NA	PTPN20B	 48357048	chr10
NA	CCDC36	 49226358	chr3
    54831	BEST2	 12724407	chr19
NA	PDGFB	 37949665	chr22
NA	DHRS7B	 21015837	chr17
NA	PFKM	 46799428	chr12
NA	CCDC36	 49247398	chr3
NA	PREX2	 69092635	chr8
     5213	PFKM	 46799428	chr12
NA	XAGE1D	 52544884	chrX
   901	CCNG2	 78297551	chr4
  8834	TMEM11	 21041855	chr17
   375341	C3orf62	 49281223	chr3
 51074	APIP	 34860492	chr11
      901	CCNG2	 78297551	chr4
   324	APC	112101483	chr5
NA	APIP	 34860421	chr11
NA	STON1-GTF2A1L	 48610568	chr2
NA	EPHA10	 37952148	chr1
140461	ASB8	 46827841	chr12
      901	CCNG2	 78298474	chr4
     2159	F10	112825114	chr13
   256302	C17orf103	 21087218	chr17
NA	SAMHD1	 34959588	chr20
   286749	STON1-GTF2A1L	 48661228	chr2
NA	APIP	 34860492	chr11
   197370	NSMCE1	 27143817	chr16
   116328	C8orf34	 69405511	chr8
    10563	CXCL13	 78651930	chr4
NA	C17orf103	 21082780	chr17
   286749	STON1-GTF2A1L	 48610568	chr2
   387856	C12orf68	 46863666	chr12
    25870	SUMF2	 56099495	chr7
   286749	STON1-GTF2A1L	 48649663	chr2
     9503	XAGE1E	 52557778	chrX
   653048	XAGE1E	 52557778	chrX
   653067	XAGE1E	 52557778	chrX
   653219	XAGE1E	 52557778	chrX
   653220	XAGE1E	 52557778	chrX
   284656	EPHA10	 37954236	chr1
    87	ACTN1	 68411152	chr14
NA	APC	112101928	chr5
    11037	STON1-GTF2A1L	 48661267	chr2
 55055	ZWILCH	 64584485	chr15
    29911	HOOK2	 12734817	chr19
   121275	OR10AD1	 46882389	chr12
   116328	C8orf34	 69512702	chr8
  6728	SRP19	112224892	chr5
   284656	EPHA10	 37999626	chr1
       87	ACTN1	 68410793	chr14
    26095	PTPN20B	 48357046	chr10
   653129	PTPN20B	 48357046	chr10
NA	XAGE1E	 52557778	chrX
NA	F10	112825129	chr13
   341567	H1FNT	 47009030	chr12
    11037	STON1-GTF2A1L	 48610814	chr2
NA	C8orf34	 69700248	chr8
  3726	JUNB	 12763310	chr19
   149175	MANEAL	 38032361	chr1
    11037	STON1-GTF2A1L	 48610829	chr2
    11036	STON1-GTF2A1L	 48682675	chr2
NA	F10	112825153	chr13
   246175	CNOT6L	 78853565	chr4
NA	NSMCE1	 27144649	chr16
NA	STON1-GTF2A1L	 48682675	chr2
  7905	REEP5	112239980	chr5
   121274	ZNF641	 47020178	chr12
  8050	PDHX	 34894695	chr11
   197021	LCTL	 64627590	chr15
    25870	SUMF2	 56099411	chr7
     5933	RBL1	 35059592	chr20
   280658	SSX7	 52689836	chrX
    11036	STON1-GTF2A1L	 48698481	chr2
   149175	MANEAL	 38033747	chr1
     8858	PROZ	112860969	chr13
     8816	WDR22	 68587395	chr14
NA	PROZ	112860969	chr13
  3566	IL4R	 27259005	chr16
NA	REEP5	112239983	chr5
    23519	ANP32D	 47152715	chr12
NA	ZRSR1	112255212	chr5
     4091	SMAD6	 64781688	chr15
  5606	MAP2K3	 21128561	chr17
   650832	MAP2K3	 21128561	chr17
    65008	MRPL1	 79002698	chr4
NA	SUMF2	 56099411	chr7
NA	LHCGR	 48767425	chr2
 79693	YRDC	 38041201	chr1
  7375	USP4	 49290003	chr3
     5933	RBL1	 35065391	chr20
NA	WDR22	 68627525	chr14
NA	MRPL1	 79003016	chr4
  7001	PRDX2	 12768635	chr19
   121273	C12orf54	 47163290	chr12
 23213	SULF1	 70541427	chr8
     3973	LHCGR	 48767425	chr2
  6122	RPL3	 38038836	chr22
   653881	RPL3	 38038836	chr22
     3566	IL4R	 27232753	chr16
NA	C12orf54	 47163290	chr12
NA	PRDX2	 12768634	chr19
 55218	EXDL2	 68727981	chr14
     4091	SMAD6	 64788097	chr15
     3566	IL4R	 27232752	chr16
     6757	SSX2	 52742671	chrX
   341568	OR8S1	 47205682	chr12
NA	C1orf122	 38046555	chr1
   960	CD44	 35116993	chr11
 55795	PCID2	112879927	chr13
167227	DCP2	112340332	chr5
NA	IL4R	 27232752	chr16
100131796	AC087482.9	 65123616	chr15
     5260	PHKG1	 56115471	chr7
   728603	FRMPD2L1	 48464046	chr10
   728798	FRMPD2L1	 48464046	chr10
NA	AC089987.26-1	 47239869	chr12
NA	EXDL2	 68728001	chr14
NA	C1orf122	 38045238	chr1
    10535	RNASEH2A	 12778428	chr19
  2876	GPX1	 49369825	chr3
   167227	DCP2	112340332	chr5
     5606	MAP2K3	 21142253	chr17
   650832	MAP2K3	 21142253	chr17
NA	LHCGR	 48768286	chr2
